,1,2,3,4,5,0
Nf3,Nf6,c4,g6,g3,Bg7,18
e4,d6,d4,Nf6,Nc3,Nbd7,18
Nf3,Nf6,g3,b5,Bg2,Bb7,18
d4,d5,Bf4,c5,e3,Nc6,18
b3,e5,Bb2,Nc6,e3,Nf6,18
d4,Nf6,Nf3,g6,Nc3,d5,18
e4,c5,Nf3,d6,d4,Nf6,18
c4,Nf6,g3,g6,Bg2,Bg7,18
Nf3,Nf6,b3,g6,Bb2,Bg7,18
d4,Nf6,Nf3,e6,Bf4,b6,17
e4,c5,Nf3,Nc6,Nc3,g6,17
e4,c5,Nf3,d6,Nc3,Nf6,17
e4,g6,d4,Bg7,Nc3,a6,17
e4,e5,Nf3,Nc6,Bb5,d6,17
Nf3,Nf6,g3,b6,Bg2,Bb7,17
Nf3,d5,g3,Nf6,Bg2,c6,17
d4,g6,c4,Bg7,Nc3,d6,17
d4,Nf6,Nc3,d5,Bf4,g6,17
e4,c5,Nf3,Nc6,Bb5,d6,17
e4,c6,Nf3,d5,exd5,cxd5,17
d4,g6,e4,Bg7,Nc3,d6,17
e4,c5,Nc3,a6,g3,b5,16
e4,c6,Nf3,d5,d3,dxe4,16
e4,c6,Nf3,d5,Nc3,dxe4,16
e4,e5,Bc4,Nf6,d3,Nc6,16
d4,Nf6,Nf3,g6,Nbd2,Bg7,16
Nf3,Nf6,c4,e6,Nc3,d5,16
Nf3,d5,g3,Nc6,d4,Bf5,16
e4,Nc6,Nf3,d6,d4,Nf6,16
c4,Nf6,Nc3,d5,cxd5,Nxd5,16
c4,Nf6,g3,e6,Bg2,d5,16
d4,Nf6,Nc3,d5,Bf4,c5,16
e4,c6,Nf3,d5,d3,g6,15
d4,d5,c4,e6,Nc3,Bb4,15
c4,Nf6,Nc3,g6,e4,d6,15
e4,c5,Nf3,Nc6,Bb5,Nf6,15
e4,e5,Nf3,Nc6,Nc3,Bc5,15
d4,d6,Nf3,g6,c4,Bg7,14
d4,Nf6,Nf3,e6,Bf4,c5,14
e4,g6,d4,Bg7,Nc3,c6,14
Nf3,Nf6,c4,g6,Nc3,d5,14
d4,Nf6,c4,e6,g3,Bb4+,14
c4,Nf6,Nc3,e6,e4,d5,14
e4,c5,Nc3,d6,d4,cxd4,14
c4,e6,Nc3,d5,d4,c6,14
e4,e6,d4,d5,Bd3,dxe4,13
d4,d5,Nf3,Nf6,c4,dxc4,13
e4,Nf6,e5,Nd5,c4,Nb6,13
d4,Nf6,Nf3,d5,Bf4,e6,13
